;doc;source;author;title;year;period;text_type;sentence
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;"['vladimir con un   intonazione terribilmente gutturale , che non aveva più nulla d   inglese , non solo , ma nemmeno d   europeo ; tale da sbalordire persino mr .', 'si sentiva , però , terribilmente sveglio ; lo inorridiva il pensiero di trovarsi faccia a faccia col buio e col silenzio che imperano appena spento il lume .', 'allo scopo di sollevare lo sguardo languido verso la faccia di chi gli parlava , il personaggio davanti al caminetto aveva a poco a poco inclinato all   indietro la testa , tanto da assumere un   aria terribilmente superba .', 'per mrs   verloc questo appariva chiaro : che il povero ragazzo era terribilmente eccitato .', 'introducendo poi , non appena le riuscì , il fratello stevie nella corrente degli avvenimenti domestici , ella accennò che quel ragazzo era terribilmente intristito .', 'era terribilmente bizzarra , egli pensò .', 'era ancora terribilmente pallido , con due occhi che parevano affondati d   un mezzo pollice nella faccia tesa .', 'ne ho terribilmente bisogno .']"
10777;LLRoncaglia1.txt;Liber Liber;Gino Roncaglia;Invito all'opera;1954.0;1951-2000;prosa letteraria;"['la scissione fra cielo e terra in questa scena avviene in modo completo e irrevocabile, e la musica lo sottolinea con una terribilità angosciosa quasi inumana; come terribilmente inumana è la fine di questo atto di una veemenza soffocante.']"
10779;diacorisGuareschi2.txt;DiaCoris;Giovanni Guareschi;Corrierino delle famiglie;1954.0;1951-2000;prosa letteraria;['margherita si inquietò allora terribilmente coi ragazzi    da oggi la chiave della cassettina la tengo io !', 'ogni cosa risultava terribilmente esatta .']
10785;LISMontale27.txt;LIS;Eugenio Montale;«La Walchiria» di Wagner;1955.0;1951-2000;stampa;"['wagner stanca terribilmente le ugole italiane ; ho memoria di un parsifal in cui tre gurnemanz dovettero cedere le armi dopo una sola rappresentazione .']"
10798;LISJacoviello1.txt;LIS;Alberto Jacoviello;Viaggio da Sopron a Györ e Budapest durante i tragici giorni vissuti dall'Ungheria;1956.0;1951-2000;stampa;['erano uomini , donne e bambini che hanno terribilmente sofferto e che ancora soffriranno a lungo le conseguenze di questi giorni di furia devastatrice .']
10858;diacorisBuzzati3.txt;DiaCoris;Dino Buzzati;Sessanta racconti;1958.0;1951-2000;prosa letteraria;['siete tutti terribilmente nervosi , stasera .', 'in fondo si apriva come una larghissima e piatta fossa , a metà della quale un rotto colonnato , terribilmente immobile , formava la facciata esterna dell   antica reggia .', 'correvano , accidenti se correvano , si sarebbero detti spaventati da qualche avvertimento repentino che li incuriosiva terribilmente , togliendo loro la pace della vita .', 'si capiva che erano terribilmente stanchi .', 'figurati , quest   anno ci sarà un ambiente terribilmente misto .', 'allora gli operai e gli ingegneri sbarcarono dalla corazzata , l   aria sopra i tre fumaioli cominciò a tremolare , segno che le caldaie erano state accese , opposti pensieri e speranze si combattevano negli animi , la pace sembrava terribilmente desiderabile pur nell   obbrobrio della disfatta ma era anche amaro abbandonare così il bastimento meraviglioso senza aver tentato neppure di combattere .']
10959;diacorisCavallari1.txt;DiaCoris;Alberto Cavallari;Una formula ha aiutato l'azzurro a battere i negr;1960.0;1951-2000;stampa;['e si vede che fatica terribilmente per rendere più veloce senza   contrarlo   il ritmo dei passi .']
10971;diacorisCederna2.txt;DiaCoris;Camilla Cederna;Fanfani;1961.0;1951-2000;stampa;['nella miseria almeno disporre bene   , enuncia quest   ometto terribilmente efficiente , che continua a girar auree chiavi nelle toppe e a impugnare maniglie istoriate , senza mai smettere di voler far ordine e dar disposizioni :   quest   orologio è un po   di giorni che è lì disteso su quell   étagère .']
10973;diacorisBuzzati4.txt;DiaCoris;Dino Buzzati;Perché?;1961.0;1951-2000;stampa;['in un posto estremamente remoto , terribilmente diverso dalla patria .']
10978;diacorisScalfari1.txt;DiaCoris;Eugenio Scalfari;Un uomo assediato;1962.0;1951-2000;stampa;['ma un tentativo d   interpretazione politica di questo sconcertante personaggio e un esame dei problemi terribilmente difficili che egli lascia in eredità ai suoi successori non sono ancora stati fatti .']
