;doc;source;author;title;year;period;text_type;sentence
115347;TT20terribilmente_randomsample.csv;itTenten2020;hellastory.net;hellastory.net;2020.0;2001-2021;web;['con inter, fiorentina, bari e parma e nonostante la scossa positiva portata dallo strepitoso frey continua a stentare terribilmente .']
115365;TT20terribilmente_randomsample.csv;itTenten2020;ilsollazzo.com;ilsollazzo.com;2020.0;2001-2021;web;['con moldrock si è giocato d  anticipo mostrando subito un cattivo problematico ma allo stesso tempo terribilmente forte.']
115433;TT20terribilmente_randomsample.csv;itTenten2020;latuairpinia.it;latuairpinia.it;2020.0;2001-2021;web;['finanche di quelle nuvole, così eteree eppure terribilmente asfissianti.']
115573;TT20terribilmente_randomsample.csv;itTenten2020;bergamonews.it;bergamonews.it;2020.0;2001-2021;web;[', perché non saranno mai sprecate le parole che verranno usate per ricordare la storia, nonostante questa sia terribilmente atroce.']
115659;TT20terribilmente_randomsample.csv;itTenten2020;epertutti.com;epertutti.com;2020.0;2001-2021;web;['ma re ferdinando gravò terribilmente la sua mano sui baroni ribelli, sfogando contro di essi il suo spirito di vendetta.']
115726;TT20terribilmente_randomsample.csv;itTenten2020;logosmyon.com;logosmyon.com;2020.0;2001-2021;web;['possiamo notare anche come il momento o la serie di momenti più importanti della nostra vita siano terribilmente trascurati, poiché, in genere, l  anima accetta le concezioni che si trova davanti in maniera irriflessa, frettolosa']
115733;TT20terribilmente_randomsample.csv;itTenten2020;poliziaedemocrazia.it;poliziaedemocrazia.it;2020.0;2001-2021;web;['r. jamison, nota per i suoi studi fondamentali sul disturbo bipolare e il suicidio:  a meno che qualcuno viva una vita terribilmente noiosa, non abbia alcuna speranza che possa essere distrutta, nessun amore che possa essere perduto, o viaggi dalla']
121230;TT20spaventosamente.csv;itTenten2020;valdesiverona.it;valdesiverona.it;2020.0;2001-2021;web;['colpiva era la normalità di eichmann, che non appariva come un mostro sanguinario ma come una persona  terribilmente e spaventosamente normale .']
121703;TT20terribilmente_randomsample.csv;itTenten2020;grassottionoranzefunebri.it;grassottionoranzefunebri.it;2020.0;2001-2021;web;['ma il lontano terribilmente , terribilmente continua.']
121709;TT20terribilmente_randomsample.csv;itTenten2020;electroantiperspirant.it;electroantiperspirant.it;2020.0;2001-2021;web;['tra la gente perché la testa terribilmente mi sudava.', 'potete nascondere le mani ed i piedi ma non la testa, e questo mi ha terribilmente distrutto.']
121814;TT20terribilmente_randomsample.csv;itTenten2020;italiamagazineonline.it;italiamagazineonline.it;2020.0;2001-2021;web;['corrisponde a svegliarsi ripetutamente durante la notte o svegliarsi automaticamente nel primo mattino sentendosi terribilmente stanchi.']
121917;TT20terribilmente_randomsample.csv;itTenten2020;letteraturaalfemminile.it;letteraturaalfemminile.it;2020.0;2001-2021;web;['punte che vi guardano immobili, che si guardano immobili   quelle delle due lineette che ne troncano inesorabilmente, terribilmente le cime   quell  arco inferiore, sul quale la lettera oscilla e si dondola sogghignando   e nell  interno quel nero, quel']
121943;TT20terribilmente_randomsample.csv;itTenten2020;ign.com;ign.com;2020.0;2001-2021;web;['è un violentissimo freno al ritmo di gioco che ha terribilmente smorzato la mia prova.']
