;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8417;GBspaventosamente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['ora, l  industria della seta, come tutte le altre, era già decaduta spaventosamente nel milanese, prima di quelle recenti sciagure; e queste le avevan poi dato l  ultimo crollo.']";;;
8419;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;"['condizioni; pure e   mi è forza, e con dolore inestimabile, confessare che i delitti, invece di andarne diminuiti, spaventosamente si accrebbero.']";;;
8428;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;['urla spaventosamente gorello, e con furia rovinante respinge il conte.'];;;
8455;diacorisVillari1.txt;DiaCoris;Pasquale Villari;Lettere meridionali;1878.0;1851-1900;personale;"['i delitti agrarii moltiplicavano spaventosamente ; i magistrati non erano sicuri ; la pubblica opinione delle moltitudini proteggeva l   assassino , che riguardava come un vendicatore dei torti ricevuti dalla società .']";;;
8469;GBspaventosamente.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['in quell  attimo ugo tese spaventosamente le mani, sforzo d  aiuto inutile e pericolo per la bimba, la quale poco stette gli sfuggisse e cadesse: poi s  avventò,'];;;
8470;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Cantoni il volontario;1881.0;1851-1900;prosa letteraria;['veramente il fuoco progrediva spaventosamente tra il legname delle vecchie gallerie, e lo scroscio delle superiori cadendo in tizzoni sopra le inferiori già'];;;
8475;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Cantoni il volontario;1881.0;1851-1900;prosa letteraria;['avvelenatore fu inforcato sul discendente di mida, che esaltato dal chiasso della moltitudine si accinse a ragliare spaventosamente ad edificazione e divertimento massimo dei monelli, che per compire l  opera regalavano il prete con tomatesi, radici'];;;
8477;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Memorie: Edizione diplomatica dall''autografo definitivo;1881.0;1851-1900;prosa letteraria;['o fu per custodire il corpo cacciatori delle alpi, che ingrossava spaventosamente in quei giorni   e toglierli quell  indipendenza   che sembrava non dispiacere del re   ma che non piaceva a certa gente'];;;
8478;GBoggi_randomsample.csv;Gutenberg; Ambrogio Bazzero;Ugo: Scene del secolo X;1881.0;1851-1900;prosa letteraria;['meraviglia spaventosamente ugo.'];;;
8481;GBfare_randomsample.csv;Gutenberg; Giuseppe Garibaldi;Cantoni il volontario;1881.0;1851-1900;prosa letteraria;['veramente il fuoco progrediva spaventosamente tra il legname delle vecchie gallerie, e lo scroscio delle superiori cadendo in tizzoni sopra le inferiori già infuocate, con immenso fracasso faceva un finimondo.'];;;
8482;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Clelia: Il governo dei preti - Romanzo storico politico;1881.0;1851-1900;prosa letteraria;['accorsero a sostenere e raccogliere i fuggenti pigliando posizione dietro le alture del monte s. giuliano, donde spaventosamente facevan fuoco colle loro armi superiori.'];;;
8483;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;Clelia: Il governo dei preti - Romanzo storico politico;1881.0;1851-1900;prosa letteraria;[': nuvoloni neri neri si avanzavano da libeccio e, peggio di tutto, il mare da quella via veniva ingrossando spaventosamente : il vento dapprima temuto dai nostri argonauti era ora ardentemente desiderato poiché lo yacht privo di quell  aiuto'];;;
8485;GBspaventosamente.csv;Gutenberg; Giuseppe Garibaldi;I Mille;1881.0;1851-1900;prosa letteraria;"[';  comunque come negli uragani, il forte del temporale, dopo d  aver girato i tre quarti della bussola, erasi spaventosamente condensato a libeccio, e da quella parte scatenò una bufera.']";;;
8493;ITBI0139.txt;ELTeC;Carlo Collodi;Le avventure di Pinocchio;1883.0;1851-1900;prosa letteraria;['diluviò, grandinò, tuonò spaventosamente e con certi lampi, che pareva di giorno.'];;;
8519;it0282.txt;CLiGS Ku;Federico de Roberto;Donato;1888.0;1851-1900;prosa letteraria;"['il terrore dei sogni; dei soli lividi, senza raggi, spaventosamente immobili nel cielo tenebroso.']";;;
8551;GBspaventosamente.csv;Gutenberg; Carlo Collodi;Le avventure di Pinocchio: Storia di un burattino;1889.0;1851-1900;prosa letteraria;['diluviò, grandinò, tuonò spaventosamente e con certi lampi, che pareva di giorno.'];;;
8570;GBspaventosamente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 3;1890.0;1851-1900;prosa letteraria;"['tutta la regione era stata spaventosamente devastata, nel iv secolo, dall  invasione dei longobardi: le sue città erano già quasi tutte decadute; nell  ottavo e']";;;
8572;GBspaventosamente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 2;1890.0;1851-1900;prosa letteraria;['qual luogo spaventosamente solitario e selvaggio!'];;;
8582;diacorisTurati1.txt;DiaCoris;Filippo Turati / Lotta di classe;La moderna lotta di classe;1892.0;1851-1900;stampa;['le epidemie , la delinquenza spaventosamente crescente , la prostituzione che dilaga , il fermento dovunque della ribellione e dell   odio , la giustizia fatta scudiera delle loro maestà l   oro e l   argento , lo smarrimento d   ogni fede e d   ogni ideale sociale e morale furono le conseguenze di uno stato di cose che rammentava   peggiorate   le decadenze di babilonia , di bisanzio e dell   antica roma .'];;;
8607;GBspaventosamente.csv;Gutenberg; Heinrich von Treitschke;La Francia dal primo impero al 1871. Volume 1;1895.0;1851-1900;prosa letteraria;['per causa di quell  uomo, centomila uomini giacevano sepolti sotto la neve, e mai il destino aveva parlato così spaventosamente .'];;;
8630;GBspaventosamente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte II;1899.0;1851-1900;prosa letteraria;['andrea levò con impeto la testa, contratti spaventosamente i lineamenti del viso.'];;;
8649;GBspaventosamente.csv;Gutenberg; Vittorio Bersezio;La carità del prossimo;1899.0;1851-1900;prosa letteraria;['colà, gli occhi spaventosamente fuor del punto, la faccia disperata, i denti che battevano insieme dal terrore, ella gridò:   non toccatemi.'];;;
8650;GBspaventosamente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte IV;1899.0;1851-1900;prosa letteraria;['macilente che s  erano fatte color della cenere, ardì volgere e tener fisso lo sguardo sul volto leggiadro ed ora spaventosamente feroce di gian luigi, sulla cui fronte era incavata quella ruga caratteristica, fatale contrassegno del suo furore.'];;;
8671;LLDeRoberto1.txt;Liber Liber;Federico de Roberto;La messa di nozze;1900.0;1851-1900;prosa letteraria;"['dalla gioia al pensiero di rivederla dopo tanta separazione, al proposito di rimproverarla acremente per il lungo abbandono; dalla paura di perderla spaventosamente in uno scontro di treni, all ebbrezza di stringersela viva sul vivo cuore; dalla rivelazione della possibilit del divorzio, alla inesorabile deliberazione del ribadimento della catena.']";;;
