doc;source;author;title;year;text_type
LISBianciardi51.txt;LIS;Luciano Bianciardi;Scioperto a sesto San Giovanni;1954;stampa
LISBianciardi52.txt;LIS;Luciano Bianciardi;La sera del premio;1954;stampa
LISBianciardi53.txt;LIS;Luciano Bianciardi;La periferia di grosseto avanza verso la campagna;1952;stampa
LISBianciardi54.txt;LIS;Luciano Bianciardi;C'è posto in maremma per migliaia di lavoratori;1952;stampa
LISBianciardi55.txt;LIS;Luciano Bianciardi;Abitano in vecchie capanne i boscaioli della maremma;1953;stampa
LISBianciardi56.txt;LIS;Luciano Bianciardi;Attendono il giorno vegliando sulla 'carbonaia';1953;stampa
LISBianciardi57.txt;LIS;Luciano Bianciardi;Tutti in piazza a sentire la storia del loro paese;1953;stampa
LISBianciardi58.txt;LIS;Luciano Bianciardi;Si simbolita in silenzio nelle miniere di Ribolla;1953;stampa
LISBianciardi59.txt;LIS;Luciano Bianciardi;Da una lingua morta nasce un nuovo linguaggio;1953;stampa
LISBianciardi60.txt;LIS;Luciano Bianciardi;Tatà Partenza si chiama la figlia;1953;stampa
LISBianciardi61.txt;LIS;Luciano Bianciardi;Inchiesta sulle condizioni di vita in Maremma;1953;stampa
LISBianciardi62.txt;LIS;Luciano Bianciardi;Scrittore in fiera;1959;stampa
LISBianciardi63.txt;LIS;Luciano Bianciardi;L'epidemia del sabato;1959;stampa
LISBianciardi64.txt;LIS;Luciano Bianciardi;Dialogo sulla competenza;1959;stampa
LISBianciardi65.txt;LIS;Luciano Bianciardi;I quartari;1959;stampa
LISBianciardi66.txt;LIS;Luciano Bianciardi;La réclame;1959;stampa
LISBianciardi67.txt;LIS;Luciano Bianciardi;Toscani a Milano;1959;stampa
LISBianciardi68.txt;LIS;Luciano Bianciardi;Punta troia;1959;stampa
LISBianciardi69.txt;LIS;Luciano Bianciardi;Teoria RM;1959;stampa
li1026.txt;CLiGS Ro;Luciano Zuccoli;La freccia nel fianco;1913;prosa letteraria
LLZuccoli1.txt;Liber Liber;Luciano Zuccoli;Il designato;1920;prosa letteraria
diacorisColletti1.txt;DiaCoris;Lucio Colletti;Le ideologie dal '68 a oggi;1981;espositivo
Espositivi.IV.4.Testo.txt;MIDIA;Ludovico Antonio Muratori ;Antichità italiane;1700;espositivo
Espositivi.IV.22.Testo.txt;MIDIA;Ludovico Antonio Muratori ;Della perfetta poesia italiana;1706;espositivo
ProsaLett.IV.4.Testo.txt;MIDIA;Ludovico Antonio Muratori ;Della perfetta poesia italiana;1706;prosa letteraria
Espositivi.IV.23.Testo.txt;MIDIA;Ludovico Antonio Muratori ;Della forza della fantasia umana;1745;espositivo
diacorisCorio1.txt;DiaCoris;Ludovico Corio;Milano in Ombra;1885;espositivo
Espositivi.V.32.Testo.txt;MIDIA;Ludovico Limentani;La previsione dei fatti sociali ;1907;espositivo
LLAngiolini1.txt;Liber Liber;Luigi Angiolini;Lettere sopra l'Inghilterra Scozia e Olanda;1790;personale
LLArchinti1.txt;Liber Liber;Luigi Archinti;Per pigliar sonno;1875;prosa letteraria
