;;doc;source;author;title;year;period;text_type;sentence
1801-1850;7576;BibItFoscolo22.txt;BibIt;Ugo Foscolo;Epistolario (1815-1816);1815.0;1801-1850;personale;"['la bignami è a bologna e s  annoia terribilmente.', 'guardo tutto intorno a me il monte, le campagne, le alpi lontane, il lago, tutto tutto bianco di neve; gelato; terribilmente muta ogni cosa   eppur mi consolo!', 'uscendo mezz ora dopo dalla stanza dove mi parlavano, entrai nella bottega de libri e mi s affacciò castelli, il quale malgrado l impudenza della quale esso è terribilmente dotato ed armato, si fece sì pallido che i garzoni della bottega se ne accorsero tutti.', 'però il giorno dopo le scrissi un biglietto passionatissimo e risentito; le mostrai quanta e velenosissima piaga aveva aperto nelle mie viscere: a che gelosia, a che disprezzo per lei e per me m aveva oramai abbandonato, e a che pericoli essa esponeva il suo nome, se passioni così terribili e sì terribilmente istigate avessero un dì o l altro fatto uno scoppio; e scongiurandola che tacesse, le diceva addio.']"
1801-1850;7636;BibItManzoni6.txt;BibIt;Alessandro Manzoni;Discorso sopra alcuni punti della storia longobardica in Italia;1822.0;1801-1850;espositivo;"['quando si dice adunque che gl italiani avevano la loro legge, non s intenda che ella fosse il limite della loro obbedienza, e una tutela della loro libertà; ma si ritenga che, oltre quella, ne avevano un altra, imposta da una parte interessata: il non trovarla scritta, il non conoscerla noi nemmeno per tradizione, può lasciar supporre che fosse una legge di fatto, sommamente arbitraria ed estesa nella sua applicazione, e ad un tempo terribilmente semplice nel suo principio.', 'il non trovarla scritta, il non conoscerla noi, nemmeno per tradizione, può lasciar supporre che fosse una legge di fatto, sommamente arbitraria ed estesa nella sua applicazione, e a un tempo terribilmente semplice nel suo principio.']"
1801-1850;7657;Personali.V.33.Testo.txt;MIDIA;Piero Uccellini;Memorie di un vecchio carbonaro ravegnate;1824.0;1801-1850;personale;['ma si scosse terribilmente quando pot avere un punto d appoggio sullo straniero, come vedremo in seguito.']
1801-1850;7661;LLBazzoni2.txt;Liber Liber;Giambattista Bazzoni;Falco della rupe o la guerra di Musso;1829.0;1801-1850;prosa letteraria;['medici si diede a fulminare terribilmente da  suoi legni esso pure, e mentre i ducali trovavansi in grave confusione perch molte delle loro barche venivano fracassate dalle palle mussiane contro il lido stesso presso cui erano, gabriele, falco e sarbelloni alla testa delle loro schiere presero terra, istruiti di quanto avessero ad operare, lasciando nelle navi i soli bombardieri, che trattisi al largo, continuarono, siccome il brigantino, a sostenere il fuoco contro i ducali.']
1801-1850;7689;GBterribilmente.csv;Gutenberg; Walter Scott;La promessa sposa di Lammermoor, Tomo 3 (of 3);1831.0;1801-1850;prosa letteraria;['come vorreste ch  io avessi un  aria ilare e gaia, s  io mi sento malinconico, e terribilmente malinconico?']
1801-1850;7692;GBterribilmente.csv;Gutenberg; Walter Scott;La promessa sposa di Lammermoor, Tomo 2 (of 3);1831.0;1801-1850;prosa letteraria;['seria terribilmente , perchè il cavaliere ed io.']
1801-1850;7738;BibItManzoni8.txt;BibIt;Alessandro Manzoni;Epistolario. Lettere dal 1833 al 1853;1833.0;1801-1850;personale;['quanto a me in particolare, poichè l a. v. trapassando le distanze sociali, ha voluto, uomo compassionevole, recar conforto ad un uomo terribilmente visitato da dio, sappia che ha fatto il bene che s era proposto, e che le sue parole, come mi rappresentano al vivo quello che pur troppo sento, così mi danno animo e lume a sentir come debbo.']
1801-1850;7860;GBterribilmente.csv;Gutenberg; Carlo Botta;Storia d''Italia dal 1789 al 1814, tomo IV;1836.0;1801-1850;prosa letteraria;['orrido pei mucchj dei cadaveri, massimamente più verso la sua foce nel po, perchè quivi nel passare furono i francesi terribilmente bersagliati dalle artiglierìe di melas.']
1801-1850;7861;GBterribilmente.csv;Gutenberg; Carlo Botta;Storia d''Italia dal 1789 al 1814, tomo IV;1836.0;1801-1850;prosa letteraria;[', e con la presenza animato i suoi soldati, che le grida di viva la repubblica fila per fila risuonando si mescolavano terribilmente col rimbombo dei cannoni, e con l  eco delle vicine montagne.']
1801-1850;7862;GBterribilmente.csv;Gutenberg; Carlo Botta;Storia d''Italia dal 1789 al 1814, tomo IV;1836.0;1801-1850;prosa letteraria;['menò egli sì terribilmente le mani, che non solo il russo piegava, ma ancora i francesi, preso nuovo ardire, assaltavano schweicuschi con tanta']
