;doc;source;author;title;year;period;text_type;sentence
8433;GBorribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Paolo Pelliccioni, Volume 2 (of 2);1872.0;1851-1900;prosa letteraria;['e fu l  ultima parola, dacchè indi a poco il petto prese ad ansarle orribilmente profondo, e con frequenza, che andò di mano in mano diminuendo.']
8439;li0431.txt;CLiGS Ro;Giovanni Verga;Eva;1873.0;1851-1900;prosa letteraria;"['c era tal suono di verità nella sua voce, e così schietta e dignitosa franchezza nelle sue parole, nei suoi occhi, e nel suo gesto, che mi facevano soffrire orribilmente per tutte le sciagurate contraddizioni della vita.', 'ma soffro orribilmente!', 'io dovevo avere l aria orribilmente stralunata; ma ella era così compresa della gioia del suo trionfo che non se ne avvide.', 'orribilmente geloso!']"
8450;LLGhislanzoni10.txt;Liber Liber;Antonio Ghislanzoni;Racconti e Novelle;1874.0;1851-1900;prosa letteraria;['desidero che i miei contemporanei siano informati, come e qualmente abbia esistito a milano un esercente di caff restaurant, il quale ad un giovane orribilmente compromesso nella opinione pubblica dalla sua duplice professione di giornalista e di poeta, per oltre un anno diede a credenza il pranzo e la cena, trattandolo con quella lautezza e garbatezza, che ordinariamente vien riserbata ai consumatori milionari.']
8452;LLArchinti1.txt;Liber Liber;Luigi Archinti;Per pigliar sonno;1875.0;1851-1900;prosa letteraria;['tutto era cangiato orribilmente nella sua vita.']
8453;LLGhislanzoni11.txt;Liber Liber;Antonio Ghislanzoni;Racconti politici;1876.0;1851-1900;prosa letteraria;['la societ  orribilmente viziata e incadaverita.', 'accreditata la voce che garibaldi in quelle remote regioni venisse orribilmente torturato dai nemici della libert.', 'vi  un capitano tedesco che soffre orribilmente e domanda di riposarsi il pi presto possibile.']
8457;GBorribilmente.csv;Gutenberg; Giuseppe Garibaldi;Memorie: Edizione diplomatica dall''autografo definitivo;1881.0;1851-1900;prosa letteraria;[', e si cominciò a ripiegare destra e sinistra della strada maestra   per scansare i tiri diretti, che la solcavano orribilmente   il nostro assalto delle posizioni di dijon, cominciò verso le   p. m.   era oscurissimo, e piovigginava   tutte']
8462;GBorribilmente.csv;Gutenberg; Primo Uccellini;Memorie di un vecchio carbonaro ravegnano;1881.0;1851-1900;prosa letteraria;"['strettamente alla presenza degli esseri i piú cari al suo cuore; e per accrescerne lo strazio le maltrattavano orribilmente , onde le urla, i gemiti, i pianti echeggiavano d  ogni intorno.']"
8464;LLSerao1.txt;Liber Liber;Matilde Serao;Leggende napoletane;1881.0;1851-1900;prosa letteraria;['in questi giorni che la fantasia del mondo, esaltata nella sua febbre, senza trovare pi pascolo, senza avere pi refrigerio, si nutre orribilmente di se stessa, arroventandosi o disseccandosi.', 'il bel corpo di stefano mariconda giacque, orribilmente sfracellato, nella fetida via per una notte ed un giorno: fino a che lo raccolse di l la piet dei parenti, dandogli onorata sepoltura.']
8465;GBorribilmente.csv;Gutenberg; Giuseppe Garibaldi;I Mille;1881.0;1851-1900;prosa letteraria;['dunque quello delle barelle, costrutte come si poteva, e con grande spreco di gente per portarle  ciocchè menomava orribilmente il numero dei combattenti.']
8489;GBorribilmente.csv;Gutenberg; Alberto Mario;La camicia rossa: Episodi - Terza edizione riveduta e corretta;1882.0;1851-1900;prosa letteraria;['nel tumulto d  isernia, disse nullo, mutilarono orribilmente gli avversar  presi.']
8490;diacorisNencioni1.txt;DiaCoris;Enrico Nencioni / La domenica letteraria;"""Canto nuovo"" e ""Terra vergine"" di Gabriele d'Annunzio";1882.0;1851-1900;stampa;['fra tanti belli e potenti versi stuona orribilmente , al mio orecchio , il verso :   gialla è la canna nel ciel turchino .']
